"","Goles","Cruces","Pases","Tacleos","Intercepciones","Bloqueos","Aereos","Faltas","Fouleados"
"Goles",1,0.613644159025505,0.575542140882882,0.463232078852948,0.214621362982647,0.058695022630752,-0.471741699543042,-0.432884715162703,0.666900496442312
"Cruces",0.613644159025505,1,0.434175664365832,0.184790094537781,0.216814295568173,-0.135021689776144,-0.576418112916323,-0.0412676988441895,0.742228878468658
"Pases",0.575542140882882,0.434175664365832,1,0.596264286577911,0.564269765166246,0.485176637966047,-0.275089232885428,0.0287270763048708,0.363726862508527
"Tacleos",0.463232078852948,0.184790094537781,0.596264286577911,1,0.687934353301421,0.838431434785847,0.209264054916141,-0.390539256150809,0.365393826382665
"Intercepciones",0.214621362982647,0.216814295568173,0.564269765166246,0.687934353301421,1,0.627662302520363,0.227002275547084,0.131191462473368,0.465273085363754
"Bloqueos",0.058695022630752,-0.135021689776144,0.485176637966047,0.838431434785847,0.627662302520363,1,0.544687498510382,-0.258387504074596,0.0672807182281477
"Aereos",-0.471741699543042,-0.576418112916323,-0.275089232885428,0.209264054916141,0.227002275547084,0.544687498510382,1,-0.12201811284155,-0.315532877621758
"Faltas",-0.432884715162703,-0.0412676988441895,0.0287270763048708,-0.390539256150809,0.131191462473368,-0.258387504074596,-0.12201811284155,1,-0.324691502323462
"Fouleados",0.666900496442312,0.742228878468658,0.363726862508527,0.365393826382665,0.465273085363754,0.0672807182281477,-0.315532877621758,-0.324691502323462,1
